,imdb_id,budget,Metascore
0,tt0369610,150000000,59.0
1,tt1392190,150000000,90.0
2,tt2908446,110000000,42.0
3,tt2488496,200000000,80.0
4,tt2820852,190000000,67.0
5,tt1663202,135000000,76.0
6,tt1340138,155000000,38.0
7,tt3659388,108000000,80.0
8,tt2293640,74000000,56.0
9,tt2096673,175000000,94.0
10,tt2379713,245000000,60.0
11,tt1617661,176000003,40.0
12,tt0470752,15000000,78.0
13,tt2120120,88000000,27.0
14,tt2395427,280000000,66.0
15,tt3460252,44000000,68.0
16,tt2446042,48000000,26.0
17,tt0478970,130000000,64.0
18,tt1661199,95000000,67.0
19,tt1951266,160000000,65.0
20,tt1964418,190000000,60.0
21,tt1798684,30000000,57.0
22,tt2126355,110000000,43.0
23,tt2322441,40000000,46.0
24,tt1596363,28000000,81.0
25,tt2381249,150000000,75.0
26,tt2637276,68000000,48.0
27,tt2802144,81000000,60.0
28,tt1895587,20000000,93.0
29,tt4046784,61000000,43.0
30,tt1823672,49000000,41.0
31,tt2848292,29000000,63.0
32,tt3682448,40000000,81.0
33,tt1051904,58000000,60.0
34,tt3170832,6000000,86.0
35,tt1979388,175000000,66.0
36,tt2199571,50000000,59.0
37,tt2381111,11000000,88.0
38,tt1398426,28000000,72.0
39,tt1618442,90000000,34.0
40,tt2080374,30000000,82.0
41,tt1638355,75000000,56.0
42,tt1655441,25000000,51.0
43,tt3072482,10000000,51.0
44,tt2224026,135000000,55.0
45,tt3622592,12000000,56.0
46,tt2231253,30000000,40.0
47,tt3464902,4000000,82.0
48,tt2402927,11800000,94.0
49,tt2361509,35000000,51.0
50,tt2719848,55000000,64.0
51,tt2446980,60000000,56.0
52,tt2058673,105000000,34.0
53,tt2503944,20000000,42.0
54,tt2140379,26000000,34.0
55,tt3045616,60000000,27.0
56,tt0810819,15000000,66.0
57,tt2717822,70000000,51.0
58,tt3397884,30000000,82.0
59,tt1502712,120000001,27.0
60,tt4263482,3500000,83.0
61,tt3079380,65000000,75.0
62,tt2381941,50100000,56.0
63,tt2679042,35000000,28.0
64,tt1390411,100000000,47.0
65,tt3247714,20000000,28.0
66,tt3076658,35000000,82.0
67,tt3152624,35000000,75.0
68,tt2057392,13000000,73.0
69,tt3569230,25000000,55.0
70,tt3332064,150000000,36.0
71,tt2452042,99000000,67.0
72,tt3322364,35000000,55.0
73,tt3530002,25000000,58.0
74,tt3605418,2500000,53.0
75,tt2726560,34000000,33.0
76,tt2510894,80000000,44.0
77,tt2279339,17000000,31.0
78,tt3488710,35000000,70.0
79,tt2401097,11000000,45.0
80,tt1524930,31000000,34.0
81,tt1029360,35000000,47.0
82,tt1881002,4000000,52.0
83,tt1014763,50000000,41.0
84,tt4178092,5000000,77.0
85,tt1528854,50000000,42.0
86,tt3480796,10000000,17.0
87,tt1754656,64000000,70.0
88,tt2910904,11930000,47.0
89,tt1666801,8500000,56.0
90,tt2752772,10000000,32.0
91,tt3450650,30000000,13.0
92,tt3181822,4000000,30.0
93,tt1674771,30000000,38.0
94,tt0884732,23000000,35.0
95,tt1727776,15000000,32.0
96,tt3567288,5000000,55.0
97,tt1355683,53000000,68.0
98,tt3276924,8900000,37.0
99,tt3850590,15000000,49.0
100,tt2402101,20000000,39.0
101,tt1781922,5000000,38.0
102,tt3850214,700000,72.0
103,tt3316948,28000000,50.0
104,tt2404425,11000000,51.0
105,tt1850457,30000000,58.0
106,tt2436386,12000000,47.0
107,tt2938956,25000000,32.0
108,tt2554274,55000000,66.0
109,tt2268016,14800000,60.0
110,tt2473510,10000000,30.0
111,tt3203606,15000000,60.0
112,tt1741273,19500000,45.0
113,tt2279373,74000000,62.0
114,tt3369806,20000000,47.0
115,tt2217859,11000000,70.0
116,tt2515034,40000000,39.0
117,tt3713166,1000000,59.0
118,tt2967224,35000000,31.0
119,tt3195644,10000000,52.0
120,tt3722070,6000000,70.0
121,tt1976009,40000000,36.0
122,tt2401878,8000000,88.0
123,tt2494362,1800000,72.0
124,tt3181776,20000000,18.0
125,tt3172532,2000000,87.0
126,tt3278330,12000000,72.0
127,tt3715320,11000000,53.0
128,tt1837636,15000000,39.0
129,tt3623726,18000000,54.0
130,tt3862750,12000000,36.0
131,tt1791682,10000000,77.0
132,tt2561572,40000000,34.0
133,tt2479478,60000000,18.0
134,tt2006295,25000000,55.0
135,tt3077214,14000000,64.0
136,tt3787590,6000000,46.0
137,tt2555736,10000000,51.0
138,tt1810683,20000000,30.0
139,tt1243974,37000000,40.0
140,tt1137470,26000000,20.0
141,tt1018765,28000000,53.0
142,tt2271563,11000000,55.0
143,tt1658801,7000000,50.0
144,tt3774694,3000000,51.0
145,tt3859076,9600000,66.0
146,tt1772288,10000000,58.0
147,tt3164256,15000000,29.0
148,tt2582502,2240000,31.0
149,tt3766394,1000000,63.0
150,tt1524575,13000000,38.0
151,tt2891174,8000000,76.0
152,tt2637294,14000000,29.0
153,tt2893490,4000000,56.0
154,tt1178665,8000000,51.0
155,tt2918436,3300000,31.0
156,tt1629242,8000000,32.0
157,tt2358925,35000000,32.0
158,tt2366608,2000000,42.0
159,tt3687310,7000000,51.0
160,tt2948840,12000000,59.0
161,tt2802136,3000000,22.0
162,tt2309260,100000,30.0
163,tt3707106,10000000,44.0
164,tt2145829,21000000,47.0
165,tt2883434,9000000,45.0
166,tt1490785,13000000,47.0
167,tt3614530,5000000,42.0
168,tt1694021,10000000,43.0
169,tt1365050,6000000,79.0
170,tt2570858,1000000,87.0
171,tt1519461,5000000,30.0
172,tt3687398,6000000,39.0
173,tt2325977,10000000,42.0
174,tt3268668,2000000,36.0
175,tt1321869,27000000,19.0
176,tt4337690,5000000,28.0
177,tt2016335,700000,36.0
178,tt3719896,20000000,34.0
179,tt4270516,600000,77.0
180,tt3488328,7500000,41.0
181,tt1957938,1500000,30.0
182,tt3214286,650000,51.0
183,tt3832914,3000000,26.0
184,tt2186848,1000000,35.0
185,tt2837336,3000000,33.0
186,tt3018070,13500000,30.0
187,tt3518012,1000000,77.0
188,tt1772261,2000000,31.0
189,tt0816692,165000000,74.0
190,tt2015381,170000000,76.0
191,tt1843866,170000000,70.0
192,tt2911666,20000000,68.0
193,tt1951265,125000000,64.0
194,tt2310332,250000000,59.0
195,tt2245084,165000000,74.0
196,tt2084970,14000000,71.0
197,tt1790864,34000000,57.0
198,tt2562232,18000000,87.0
199,tt2267998,61000000,79.0
200,tt2713180,68000000,64.0
